_id,datetime,temperature
1,2016-08-18T10:55:00,35.58
2,2016-08-18T11:00:00,35.77
3,2016-08-18T11:05:00,35.93
4,2016-08-18T11:10:00,35.8
5,2016-08-18T11:15:00,35.38
6,2016-08-18T11:20:00,35.27
7,2016-08-18T11:25:00,35.18
8,2016-08-18T11:30:00,35
9,2016-08-18T11:35:00,34.94
10,2016-08-18T11:40:00,34.93
11,2016-08-18T11:45:00,34.98
12,2016-08-18T11:50:00,34.9
13,2016-08-18T11:55:00,34.94
14,2016-08-18T12:00:00,34.9
15,2016-08-18T12:05:00,34.95
16,2016-08-18T12:10:00,34.95
17,2016-08-18T12:15:00,35.09
18,2016-08-18T12:20:00,35.05
19,2016-08-18T12:25:00,34.88
20,2016-08-18T12:30:00,34.76
21,2016-08-18T12:35:00,34.87
22,2016-08-18T12:40:00,35.58
23,2016-08-18T12:45:00,35
24,2016-08-18T12:50:00,34.77
25,2016-08-18T12:55:00,35.18
26,2016-08-18T13:00:00,35.4
27,2016-08-18T13:05:00,35.16
28,2016-08-18T13:10:00,35.23
29,2016-08-18T14:45:00,36.17
30,2016-08-18T14:50:00,35.37
31,2016-08-18T14:55:00,36.13
32,2016-08-18T15:00:00,36.24
33,2016-08-18T15:05:00,36.48
34,2016-08-18T15:10:00,36.47
35,2016-08-18T15:15:00,36.48
36,2016-08-18T15:20:00,36.54
37,2016-08-18T15:25:00,36.43
38,2016-08-18T15:30:00,36.33
39,2016-08-18T15:35:00,36.38
40,2016-08-18T15:40:00,36.53
41,2016-08-18T15:45:00,36.56
42,2016-08-18T15:50:00,36.61
43,2016-08-18T15:55:00,36.48
44,2016-08-18T16:00:00,36.58
45,2016-08-18T16:05:00,36.62
46,2016-08-18T16:10:00,36.47
47,2016-08-18T16:15:00,36.46
48,2016-08-18T16:20:00,36.58
49,2016-08-18T16:25:00,36.65
50,2016-08-18T16:30:00,36.78
51,2016-08-18T16:35:00,36.6
52,2016-08-18T16:40:00,36.68
53,2016-08-18T16:45:00,36.58
54,2016-08-18T16:50:00,36.54
55,2016-08-18T16:55:00,36.48
56,2016-08-18T17:00:00,36.41
57,2016-08-18T17:05:00,36.46
58,2016-08-18T17:10:00,36.2
59,2016-08-18T17:15:00,36.22
60,2016-08-18T17:20:00,36.28
61,2016-08-18T17:25:00,36.22
62,2016-08-18T17:30:00,36.13
63,2016-08-18T17:35:00,36.08
64,2016-08-18T17:40:00,36.22
65,2016-08-18T17:45:00,36.26
66,2016-08-18T17:50:00,36.2
67,2016-08-18T17:55:00,36.23
68,2016-08-18T18:00:00,36.14
